nsn,item_description,date,unit_price,demand_quantity,market_index,supplier_id,contract_id,data_density_class,recommended_modeling_approach
9150-01-123-4567,Turbine Oil,2023-01-01,19.04,157,1.005,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2023-02-01,18.39,50,0.987,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2023-03-01,19.99,163,0.996,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2023-04-01,20.16,153,1.005,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2023-05-01,19.35,96,1.007,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2023-06-01,19.76,181,1.009,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2023-07-01,18.58,132,1.003,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2023-08-01,18.84,194,1.021,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2023-09-01,18.45,99,1.01,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2023-10-01,18.22,93,1.002,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2023-11-01,18.04,157,1.024,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2023-12-01,18.85,138,1.016,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2024-01-01,20.02,126,1.023,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2024-02-01,20.37,211,1.01,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2024-03-01,20.98,200,1.029,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2024-04-01,21.58,234,1.033,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2024-05-01,20.48,198,1.017,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2024-06-01,21.3,199,1.04,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2024-07-01,19.28,161,1.016,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2024-08-01,19.86,120,1.038,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2024-09-01,19.05,113,1.021,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2024-10-01,19.06,160,1.037,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2024-11-01,19.6,191,1.029,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2024-12-01,19.83,181,1.03,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2025-01-01,20.37,169,1.026,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2025-02-01,20.81,127,1.038,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2025-03-01,22.86,181,1.056,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2025-04-01,22.24,110,1.052,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2025-05-01,21.67,94,1.041,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2025-06-01,21.33,182,1.036,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2025-07-01,21.68,170,1.05,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2025-08-01,21.63,135,1.066,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2025-09-01,20.52,118,1.04,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2025-10-01,20.19,157,1.05,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2025-11-01,19.91,165,1.042,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
9150-01-123-4567,Turbine Oil,2025-12-01,21.06,199,1.062,SUP-005,CON-7781,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2023-01-01,0.88,219,1.014,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2023-02-01,0.9,149,1.003,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2023-03-01,0.9,158,0.993,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2023-04-01,0.93,146,1.009,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2023-05-01,0.89,115,0.992,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2023-06-01,0.89,208,1.015,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2023-07-01,0.9,191,1.001,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2023-08-01,0.85,145,1.026,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2023-09-01,0.85,177,1.007,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2023-10-01,0.86,157,1.012,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2023-11-01,0.85,149,1.015,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2023-12-01,0.87,97,1.022,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2024-01-01,0.88,204,1.023,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2024-02-01,0.95,172,1.015,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
5320-00-987-6543,Rivet Assembly,2024-03-01,0.96,90,1.036,SUP-005,CON-8892,dense_monthly,standard_arima_lstm_candidate
