supplier_id,supplier_name,report_month,avg_lead_time_days,on_time_delivery_rate,defect_rate,primary_shipping_code,region,shipments_completed,expedite_rate,avg_freight_cost,risk_score
SUP-001,Mock Vendor X,2025-01-01,9.8,0.907,0.008,SC-AIR,CONUS,24,0.129,1496.04,10.7
SUP-001,Mock Vendor X,2025-02-01,11.8,0.936,0.014,SC-AIR,CONUS,66,0.049,1487.37,8.1
SUP-001,Mock Vendor X,2025-03-01,11.9,0.979,0.022,SC-AIR,CONUS,19,0.075,2273.83,8.2
SUP-001,Mock Vendor X,2025-04-01,10.4,0.909,0.016,SC-AIR,CONUS,35,0.093,2238.51,11.3
SUP-001,Mock Vendor X,2025-05-01,13.9,0.922,0.012,SC-AIR,CONUS,118,0.046,1622.0,8.3
SUP-001,Mock Vendor X,2025-06-01,12.4,0.956,0.017,SC-AIR,CONUS,43,0.084,2192.99,8.7
SUP-001,Mock Vendor X,2025-07-01,11.0,0.948,0.001,SC-AIR,CONUS,106,0.17,1588.03,8.2
SUP-001,Mock Vendor X,2025-08-01,11.9,0.942,0.008,SC-AIR,CONUS,91,0.13,1177.89,8.9
SUP-001,Mock Vendor X,2025-09-01,12.5,0.949,0.002,SC-AIR,CONUS,30,0.166,1761.82,8.2
SUP-001,Mock Vendor X,2025-10-01,10.6,0.918,0.026,SC-AIR,CONUS,24,0.045,1763.92,11.6
SUP-001,Mock Vendor X,2025-11-01,12.3,0.946,0.013,SC-AIR,CONUS,58,0.094,2363.91,8.7
SUP-001,Mock Vendor X,2025-12-01,14.9,0.972,0.019,SC-AIR,CONUS,35,0.13,1771.27,9.6
SUP-002,Mock Vendor Y,2025-01-01,18.9,0.911,0.018,SC-GROUND,CONUS,111,0.044,712.24,14.9
SUP-002,Mock Vendor Y,2025-02-01,18.5,0.875,0.01,SC-GROUND,CONUS,52,0.155,824.91,17.9
SUP-002,Mock Vendor Y,2025-03-01,17.2,0.863,0.013,SC-GROUND,CONUS,39,0.047,765.15,14.4
SUP-002,Mock Vendor Y,2025-04-01,17.8,0.882,0.037,SC-GROUND,CONUS,71,0.167,625.62,23.0
SUP-002,Mock Vendor Y,2025-05-01,15.4,0.894,0.018,SC-GROUND,CONUS,117,0.084,710.93,12.8
SUP-002,Mock Vendor Y,2025-06-01,21.0,0.897,0.045,SC-GROUND,CONUS,34,0.102,382.34,25.8
SUP-002,Mock Vendor Y,2025-07-01,13.8,0.894,0.028,SC-GROUND,CONUS,101,0.077,665.41,14.3
SUP-002,Mock Vendor Y,2025-08-01,17.2,0.854,0.032,SC-GROUND,CONUS,90,0.064,497.53,19.6
SUP-002,Mock Vendor Y,2025-09-01,21.9,0.876,0.016,SC-GROUND,CONUS,97,0.044,628.61,19.9
SUP-002,Mock Vendor Y,2025-10-01,17.2,0.874,0.022,SC-GROUND,CONUS,67,0.052,794.87,16.0
SUP-002,Mock Vendor Y,2025-11-01,19.9,0.843,0.03,SC-GROUND,CONUS,38,0.106,638.33,24.3
SUP-002,Mock Vendor Y,2025-12-01,15.7,0.896,0.039,SC-GROUND,CONUS,59,0.066,818.29,17.1
SUP-003,Mock Vendor Z,2025-01-01,25.6,0.849,0.054,SC-SEA,OCONUS,69,0.067,1380.14,34.9
SUP-003,Mock Vendor Z,2025-02-01,26.9,0.863,0.048,SC-SEA,OCONUS,81,0.041,1062.35,33.6
SUP-003,Mock Vendor Z,2025-03-01,26.7,0.87,0.049,SC-SEA,OCONUS,70,0.013,1024.32,32.4
SUP-003,Mock Vendor Z,2025-04-01,21.4,0.836,0.059,SC-SEA,OCONUS,99,0.031,608.65,30.6
SUP-003,Mock Vendor Z,2025-05-01,23.6,0.849,0.04,SC-SEA,OCONUS,64,0.068,672.64,29.5
SUP-003,Mock Vendor Z,2025-06-01,26.6,0.806,0.044,SC-SEA,OCONUS,94,0.043,1394.3,35.6
SUP-003,Mock Vendor Z,2025-07-01,23.3,0.817,0.065,SC-SEA,OCONUS,46,0.01,1319.45,34.6
SUP-003,Mock Vendor Z,2025-08-01,23.3,0.878,0.056,SC-SEA,OCONUS,65,0.059,862.75,30.8
SUP-003,Mock Vendor Z,2025-09-01,26.1,0.854,0.062,SC-SEA,OCONUS,110,0.039,1342.92,36.2
SUP-003,Mock Vendor Z,2025-10-01,25.0,0.867,0.066,SC-SEA,OCONUS,45,0.042,1366.36,35.1
SUP-003,Mock Vendor Z,2025-11-01,25.6,0.811,0.06,SC-SEA,OCONUS,99,0.069,1228.35,38.4
SUP-003,Mock Vendor Z,2025-12-01,22.1,0.827,0.038,SC-SEA,OCONUS,82,0.019,1188.81,27.0
